URL,FILE,KEYWORD
https://github.com/davidcrawford/pyhook.git,src/pyhookmodule.c,Python.h
https://github.com/slideinc/prctl.git,prctlmodule.c,Python.h
https://github.com/jiffyclub/omp-python-test.git,src/openmptest.c,Python.h
https://github.com/juntalis/PyOptiPng.git,README.md,Cython
https://github.com/mkwiatkowski/mandelbrot.git,_mandelbrot.c,Python.h
https://github.com/devinus/urlize.git,python_urlize.c,Python.h
https://github.com/chrisjcameron/python_igraph_numpy_c_ext.git,ignp_fun.c,Python.h
https://github.com/BackupGGCode/c-system-abstraction-component-gui.git,doc/doc.doxdb,ctypes
https://github.com/paiweilai/pycmodule.git,pycmodule.c,Python.h
https://github.com/pld-linux/python-pycxx.git,python-pycxx-6.2.4-change-include-paths.patch,Python.h
https://github.com/kurazu/pyext.git,src/basic_mod/basic.c,Python.h
https://github.com/proycon/python-timbl.git,setup2.py,Python.h
https://github.com/bwhmather/ragel-py-ext.git,ragelpyext/test/_core.rl,Python.h
https://github.com/rencoreab/SharePoint-Software-Factory.git,Libraries/ExtensionPack/IronPython.DLL,pybind
https://github.com/remram44/pyjava.git,native/convert.h,Python.h
https://github.com/slideinc/meminfo.git,_meminfomodule.c,Python.h
https://github.com/darius/yajson.git,peg.py,Python.h
https://github.com/haxtibal/netsnmptable.git,netsnmptable/interface.c,Python.h
https://github.com/eaglenature/GCuda.git,docs/doxygenlayout.xml,ctypes
https://github.com/eweddington/ruby-c-extension-examples.git,ThirdParty/bin/win32/swig/Lib/python/embed.i,Python.h
https://github.com/kevbradwick/python-extension-example.git,src/foomodule.h,Python.h
https://github.com/SodaCookie/graphics.git,graphics/core/graphics.h,Python.h
https://github.com/thanasi/python-extensions.git,basictest/basiccmodule.c,Python.h
https://github.com/sleepydragonsw/PyCExtWorkshop.git,denver.c,Python.h
https://github.com/nellaivijay/py_kdtree.git,README,Cython
https://github.com/S-YOU/rc.git,ext/rc_S.c,Python.h
https://github.com/gaohaizhao/mpaxos.git,waf,ctypes
https://github.com/gennad/python-c.git,helloworldmodule/hellomodule.c,Python.h
https://github.com/snaewe/python-cxx.git,CXX/CXX/Config.hxx,Python.h
https://github.com/pydatastructs/avl.git,AVLmodule.c,Python.h
https://github.com/sinistersnare/python-rust-talk.git,from_rust.py,ctypes
https://github.com/waleedassar/NeverShowExt.git,NeverShowExt.ncb,ctypes
https://github.com/deekej/predator.git,vra/tests-unit/gtest/gtest.h,ctypes
https://github.com/kbussell/pyporterstemmer.git,porter_stemmer.cpp,Python.h
https://github.com/Jazmann/openCV-Cxx11.git,3rdparty/ffmpeg/opencv_ffmpeg.dll,ctypes
https://github.com/furuholm/AltRxCpp.git,gmock-1.7.0/fused-src/gtest/gtest.h,ctypes
https://github.com/MatthewNewland/getch.git,getch.c,Python.h
https://github.com/r0wb0t/pyquadtree.git,src/pyquadtree.cpp,Python.h
https://github.com/fredrikhl/py-ext-test.git,README,cffi
https://github.com/rbistolfi/pymount.git,mountmodule.c,Python.h
https://github.com/snyderdan/PyVector.git,linux/VectorMath.c,Python.h
https://github.com/bharath-k/python-extensions.git,example_cpython.c,Python.h
https://github.com/heejune/demo-python-PyCExtDemo1.git,mycpppymodule/mycpppymodule.cpp,Python.h
https://github.com/pylover/raspberrypi-bcm2835.git,setup.py,Cython
https://github.com/mfranberg/indexedfastq.git,cindexedfastq/cindexedfastq.c,Python.h
https://github.com/williamchang/umbraco-webforms-contrib.git,Libraries/cms.pdb,ctypes
https://github.com/rkern/redir.git,ctest.c,Python.h
https://github.com/ekeberg/pynfft.git,nfftmodule.c,Python.h
https://github.com/kbussell/python-ctokenizer.git,tokenizer.c,Python.h
https://github.com/insmo/redis-packer.git,README.md,Python.h
https://github.com/shankar2105/NativeUdpClient_Firefox.git,README.md,ctypes
https://github.com/Vvnrck/sudoku-c-extension.git,sources/sudokumodule.cpp,Python.h
https://github.com/ajdavis/modtest.git,modtest.c,Python.h
https://github.com/addiscode/PyNumReader.git,NumReaderExt.cpp,Python.h
https://github.com/dmbaggett/cx509.git,cx509.c,Python.h
https://github.com/stephan-hof/pthread_event.git,pthread_event/_pthread_event.c,Python.h
https://github.com/NickStephens/python-sensor-extension.git,jni/main.c,Python.h
https://github.com/anuragknp/fixcharset.git,_fixcharset.cc,Python.h
https://github.com/cournape/cython_export.git,README.rst,Cython
https://github.com/EjaadTech/AVRonArduino.git,AVRonArduino/avrdude/msvcp100.dll,ctypes
https://github.com/ajdavis/demo-c-extension.git,demo.c,Python.h
https://github.com/loughnane/Cextension_speed_test.git,extensions.c,Python.h
https://github.com/ekeberg/rotation_sampling.git,rotsamplingmodule.c,Python.h
https://github.com/dbc/phlex.git,README,Python.h
https://github.com/jonbinney/python_ext_example.git,src/demo.c,Python.h
https://github.com/juntalis/ce-luacontrib.git,vendor/ffi/ctype.c,ctypes
https://github.com/chromatic-universe/chromatic_imap_cplus_plus.git,chromatic_imap_lib/chromatic_imap/Debug/chromatic_acceptor.o,ctypes
https://github.com/ajdavis/in-sub-interpreter.git,in_sub_interpreter.c,Python.h
https://github.com/spin6lock/python_c_extension.git,ext1.c,Python.h
https://github.com/hausen/SSLZlibOff.git,README.md,ctypes
https://github.com/brunzefb/MakeFriendAssembly.git,MakeFriendAssembly.VC.db,ctypes
https://github.com/guoliangyu/pyshmsession.git,pyshmsession.cpp,Python.h
https://github.com/stephan-hof/shjson.git,deque.c,Python.h
https://github.com/ekeberg/icosahedron.git,icosahedronmodule.c,Python.h
https://github.com/escherba/qxalign3.git,qxalign.c,Python.h
https://github.com/SolarDrew/Cython-Crotate.git,Ccode/rot_extn.c,Python.h
https://github.com/fish2000/pyicu-praxa.git,_icu.cpp,Python.h
https://github.com/tophathacker/PiRangeFinder.git,src/rangeFinderModule.c,Python.h
https://github.com/doncatnip/require.cython.git,setup.py,Cython
https://github.com/mtholder/cPhyProb.git,cPhyProb/ccore/dsct_model.h,Python.h
https://github.com/dpm314/doublePendulum.git,doublePendulum.c,Python.h
https://github.com/achimnol/pykorea-cext-examples.git,README.md,Cython
https://github.com/guangfeng/python-fnvhash2.git,fnvhash2.c,Python.h
https://github.com/tyler46/python-c-extension-demo.git,src/cenviron.c,Python.h
https://github.com/Rouslan/PyExpose.git,include/pyexpose_common.h,Python.h
https://github.com/BartmanAbyss/vscode-amiga-debug.git,bin/opt/share/info/gdb.info,Python.h
https://github.com/skalenetwork/skaled.git,libskutils/src/console_colors.cpp,ctypes
https://github.com/bioidiap/bob.extension.git,bob/extension/__init__.py,ctypes
https://github.com/hackfin/ghdlex.git,src/handler.c,Python.h
https://github.com/OzymandiasTheGreat/winnotify.git,src/_notify.c,Python.h
https://github.com/yangfly/mtcnn.git,src/core/pybing.cpp,Python.h
https://github.com/sizmailov/pybind11-stubgen.git,README.rst,pybind
https://github.com/agronholm/sample-c-extension.git,.ci/build.cmd,Cython
https://github.com/Intersec/lib-common.git,README.adoc,Cython
https://github.com/jalan/spam.git,spam.c,Python.h
https://github.com/ucas-ict-weak-chicken/pytorch_extension_example.git,README.md,pybind
https://github.com/Quuxplusone/hello-extension.git,glue-src/glue.cc,Python.h
https://github.com/Windr07/WLib.git,DLL/GDAL/msvcp90.dll,ctypes
https://github.com/ragoragino/py-hawkes.git,README.md,Cython
https://github.com/0cjs/pycextdemo.git,README.md,pybind
https://github.com/kevinwong197/webview.git,example/app.exe,ctypes
https://github.com/YouRancestor/PythonModuleDemo.git,build.sh,Python.h
https://github.com/thecodebasesite/c-extension.git,hello.c,Python.h
https://github.com/NorthenFox/otus-C-extension.git,pb.c,Python.h
https://github.com/reed-lau/pyc.git,pyc.c,Python.h
https://github.com/lazakrisz/extendingpython.git,c_extension/extensionmodule.c,Python.h
https://github.com/komo97/CDMExtensions.git,libs/Win32/CDMExtensions.lib,ctypes
https://github.com/andreymulik/sdp-ctypes.git,README.md,ctypes
https://github.com/erikfrojdh/python_cpp_example.git,src/my_module.cpp,Python.h
https://github.com/csatrio/c-extensions.git,hello.c,Python.h
https://github.com/milladgit/python-c-extensions-tut.git,Cext/C_arraytest.c,Python.h
